Place,Points,Name,PDGA#,Rating,Par,Rd1,Rd2,Rd3,Total,Prize
1,1420,Paul McBeth,27523,1056,-23,55,51,51,157,"$3,500"
2,1410,Garrett Gurthie,13864,1027,-21,57,48,54,159,"$2,319"
3,1400,Joel Freeman,69509,1025,-20,52,57,51,160,"$1,680"
3,1400,Simon Lizotte,8332,1038,-20,53,55,52,160,"$1,680"
5,1380,Gregg Barsby,15857,1024,-18,54,54,54,162,"$1,346"
6,1370,James Conrad,17295,1036,-17,52,55,56,163,"$1,208"
7,1360,Nathan Queen,68286,1013,-16,51,59,54,164,"$1,102"
8,1350,Väinö Mäkelä,59635,1026,-14,55,55,56,166,"$1,019"
9,1340,Richard Wysocki,38008,1047,-13,57,57,53,167,$921
9,1340,Adam Hammes,57365,1019,-13,51,60,56,167,$921
11,1320,Nikko Locastro,11534,1023,-10,60,55,55,170,$822
11,1320,Philo Brathwaite,26416,1019,-10,54,58,58,170,$822
13,1300,Cameron Messerschmidt,58814,1013,-9,54,57,60,171,$680
13,1300,Andrew Marwede,75590,1019,-9,62,54,55,171,$680
13,1300,Austin Hannum,68835,1024,-9,57,55,59,171,$680
13,1300,Calvin Heimburg,45971,1039,-9,62,51,58,171,$680
13,1300,Eric Oakley,53565,1018,-9,61,56,54,171,$680
13,1300,Silver Lätt,61186,1009,-9,55,58,58,171,$680
13,1300,Armando Enseñat,63021,978,-9,55,59,57,171,$680
20,1230,Peter McBride,34463,1007,-7,58,59,56,173,$575
20,1230,Matt Bell,48950,1018,-7,61,56,56,173,$575
20,1230,Kevin Kohltrain,53341,997,-7,56,59,58,173,$575
23,1200,Seppo Paju,36744,1029,-6,60,60,54,174,$525
23,1200,Matthew Orum,18330,1036,-6,62,57,55,174,$525
23,1200,Trevor Harbolt,26860,1000,-6,57,56,61,174,$525
23,1200,Reid Frescura,48338,1013,-6,59,62,53,174,$525
27,1160,Colten Montgomery,35876,1010,-5,58,56,61,175,$490
27,1160,Albert Tamm,76669,1012,-5,57,59,59,175,$490
29,1140,Noah Meintsma,56555,1017,-4,56,59,61,176,$469
29,1140,Tim Barham,53332,1022,-4,59,62,55,176,$469
31,1120,Rick Steehler,67698,983,-3,55,60,62,177,$436
31,1120,Zackeriath Johnson,50312,1009,-3,56,60,61,177,$436
31,1120,Drew Gibson,48346,1022,-3,60,57,60,177,$436
31,1120,Kevin Jones,41760,1039,-3,60,58,59,177,$436
31,1120,Barry Schultz,6840,1028,-3,61,58,58,177,$436
31,1120,Andrew Presnell,63765,1022,-3,62,57,58,177,$436
37,1060,Matt Dollar,26045,1006,-2,63,56,59,178,$401
37,1060,Jordan Castro,49431,1015,-2,60,60,58,178,$401
37,1060,Nicholas Carl,82935,977,-2,61,59,58,178,$401
37,1060,Thomas Gilbert,85850,1014,-2,62,54,62,178,$401
41,1020,Chris Clemons,50401,1019,-1,62,57,60,179,$373
41,1020,Daniel Jenkins,38732,990,-1,63,57,59,179,$373
41,1020,Brandon Brown,87673,1003,-1,58,61,60,179,$373
41,1020,Nicholas Masters,61176,1002,-1,59,59,61,179,$373
41,1020,Brian Earhart,45879,1009,-1,62,60,57,179,$373
41,1020,Justin Bilodeau,45478,1002,-1,56,61,62,179,$373
47,960,Max Nichols,21870,1011,E,58,61,61,180,$356
48,950,Dylan Horst,32599,995,1,64,61,56,181,$346
48,950,Alex Russell,66362,1025,1,67,55,59,181,$346
48,950,Garry Patton,49643,996,1,61,59,61,181,$346
48,950,Tyler Grady,45097,990,1,66,56,59,181,$346
52,910,Nate Perkins,65737,1017,2,61,63,58,182,$330
52,910,Sias Elmore,57425,1011,2,62,63,57,182,$330
52,910,Henry Childres,24834,981,2,63,61,58,182,$330
52,910,Allen Hermosillo,25345,988,2,62,60,60,182,$330
56,870,Juhani Vainio,30752,987,3,61,61,61,183,$133
56,870,Casey White,81739,996,3,65,61,57,183,$133
56,870,Paul Oman,34344,1016,3,64,62,57,183,$133
56,870,Weston Isaacs,40883,999,3,61,59,63,183,$133
56,870,Jason Dore,31476,997,3,58,63,62,183,$133
56,870,Alan Wagner,28550,995,3,55,62,66,183,$133
56,870,Ville Ahokas,53538,984,3,59,64,60,183,$133
