Place,Points,Name,PDGA#,Rating,Rd1,Rd2,Rd3,Finals,Total,Prize
1,1480,Richard Wysocki,38008,1039,51,54,52,57,214,"$3,700"
2,1470,Gregg Barsby,15857,1022,56,52,54,55,217,"$3,475"
3,1460,Paul Mcbeth,27523,1050,50,53,53,63,219,"$2,000"
4,1450,Will Schusterick,29064,1031,54,57,56,57,224,"$1,625"
5,1440,Jeremy Koling,33705,1030,57,57,54,57,225,"$1,550"
6,1430,Joe Rovere,30306,1028,59,53,55,60,227,"$1,250"
7,1420,David Feldberg,12626,1032,54,60,54,60,228,"$1,175"
7,1420,Nathan Sexton,18824,1029,54,61,55,58,228,"$1,175"
9,1400,David Wiggins jr,24437,1017,56,54,56,63,229,"$1,110"
10,1390,Nikko Locastro,11534,1034,54,63,53,60,230,"$1,053"
10,1390,Cameron Colglazier,47407,1029,60,55,59,56,230,"$1,053"
12,1370,Matt Bell,48950,1007,57,60,55,60,232,"$1,017"
12,1370,Nathan Doss,11794,1033,60,55,59,58,232,"$1,017"
12,1370,Cameron Todd,12827,1006,55,58,60,59,232,"$1,017"
15,1340,Steve Brinster,10628,1028,64,57,54,58,233,$855
16,1330,Jared Roan,49210,996,60,61,53,60,234,$770
16,1330,Steven Rico,4666,1027,56,60,54,64,234,$770
16,1330,Devan Owens,25168,1013,57,61,55,61,234,$770
19,1300,Henrik Johansen,42493,1004,60,61,56,59,236,$578
19,1300,Chris Dickerson,62467,999,57,57,57,65,236,$578
19,1300,Logan Bowers,31536,1000,56,56,59,65,236,$578
19,1300,Cale Leiviska,24341,1025,58,58,59,61,236,$578
19,1300,Avery Jenkins,7495,1018,58,55,60,63,236,$578
19,1300,Dutch Napier,31473,995,57,58,63,58,236,$578
25,1240,Andrew Fish,58320,1020,63,58,56,60,237,$407
25,1240,Jason Dore,31476,1004,57,56,59,65,237,$407
25,1240,Zach Melton,38631,1010,59,64,59,55,237,$407
28,1210,Dustin Keegan,35187,1008,59,60,57,62,238,$375
29,1200,Drew Gibson,48346,1013,59,57,57,66,239,$363
29,1200,Dan Hastings,33504,1001,52,59,58,70,239,$363
31,1180,Henry Childres,24834,978,61,59,57,63,240,$340
31,1180,Bobby Musick,15911,1018,60,59,58,63,240,$340
31,1180,Max Nichols,21870,1009,53,60,60,67,240,$340
34,1150,Nate Krahn,29352,1004,65,58,58,60,241,$320
35,1140,Matt Dollar,26045,1012,62,59,54,67,242,$308
35,1140,Brody Miller,5222,1000,64,61,57,60,242,$308
35,1140,Dana Vicich,26228,1002,60,64,57,61,242,$308
35,1140,Johne Mccray,9852,1023,58,61,59,64,242,$308
39,1100,Paul Ulibarri,27171,1025,52,65,57,69,243,$293
39,1100,Joey Lutz,45887,1007,61,59,58,65,243,$418
41,1080,Chris Becker,42894,1000,66,60,55,63,244,$283
41,1080,Devin Frederick,16287,1007,64,58,57,65,244,$283
43,1060,Philo Brathwaite,26416,1024,57,63,61,64,245,$270
43,1060,Mike Gastin,22824,986,59,58,63,65,245,$270
43,1060,Paul Oman,34344,1009,59,56,64,66,245,$270
46,1030,Matt Versola,39010,960,60,59,54,73,246,$258
46,1030,James Cole,29690,1007,58,60,60,68,246,$258
48,1010,Tim Barham,53332,1001,60,61,57,69,247,$248
48,1010,Tyler Liebman,24981,993,62,62,58,65,247,$248
50,990,Aaron Doyle,32750,995,65,63,60,60,248,$233
50,990,Josh Childs,13007,1009,57,60,61,70,248,$233
50,990,Nate Tomlinson,40960,984,62,62,62,62,248,$233
50,990,John Fowler,6520,989,61,59,63,65,248,$233
54,950,Ray Johnson,10355,1002,63,62,59,65,249,$225
54,950,Jonathan Baldwin,18114,1001,60,63,60,66,249,$225
56,930,Geoff Bennett,24962,1000,64,66,55,65,250,$225
56,930,Tate Handy,30613,977,59,61,64,66,250,$225
56,930,Mitch Sonderfan,17998,997,63,58,65,64,250,$225
59,900,Tim Mirabal,29891,991,62,65,58,67,252,$217
59,900,Justin Madore,17035,987,63,62,61,66,252,$217
59,900,Neal Swanson,24965,955,64,62,61,65,252,$217
59,900,Kyle Moriarty,50920,980,58,63,61,70,252,$217
59,900,Stephen Heaps,19898,967,64,63,62,63,252,$217
59,900,Allen Hermosillo,25345,987,59,59,64,70,252,$217
65,840,Troy Widden,24996,991,62,59,65,67,253,$200
66,830,Jay Yeti Reading,15864,1002,60,64,64,67,255,$200
67,820,Anthony Cantow,44406,965,65,60,58,73,256,$200
67,820,Ian Liddell,27977,994,62,66,58,70,256,$200
67,820,Tim Mcdill,41365,984,61,63,65,67,256,$200
70,790,Kevin Gardner,41647,993,65,61,62,69,257,$200
71,780,Ross Pancoast,25734,975,63,59,63,74,259,$200
72,770,Nolan Tsingine,43138,972,66,60,63,71,260,$40
72,770,Mark Peters,45745,991,65,61,63,71,260,$40
72,770,Christian Olsen,60666,981,65,59,64,72,260,$40
75,740,Taylor Cimala,30371,983,60,63,66,73,262,$40
