Place,Points,Name,PDGA#,Rating,Par,Rd1,Rd2,Rd3,Total,Prize
1,1570,James Conrad,17295,1030,-22,56,51,48,155,"$3,570"
2,1560,Paul McBeth,27523,1048,-21,53,52,51,156,"$2,365"
3,1550,Calvin Heimburg,45971,1028,-18,53,53,53,159,"$1,860"
4,1540,Grady Shue,68285,1016,-15,56,53,53,162,"$1,565"
5,1530,Simon Lizotte,8332,1041,-14,57,51,55,163,"$1,245"
5,1530,Gregg Barsby,15857,1020,-14,58,52,53,163,"$1,245"
5,1530,Paul Ulibarri,27171,1027,-14,56,53,54,163,"$1,245"
8,1500,Zach Melton,38631,1018,-13,55,54,55,164,$945
8,1500,Eagle Wynne McMahon,37817,1045,-13,58,54,52,164,$945
8,1500,Nikko Locastro,11534,1020,-13,51,58,55,164,$945
8,1500,Richard Wysocki,38008,1047,-13,58,46,60,164,$945
12,1460,Nathan Sexton,18824,1032,-12,53,54,58,165,$820
13,1450,Matthew Orum,18330,1030,-10,56,55,56,167,$765
13,1450,Cameron Colglazier,47407,1026,-10,60,50,57,167,$765
15,1430,Noah Meintsma,56555,1007,-9,56,57,55,168,$690
15,1430,A.J. Risley,25890,1017,-9,56,54,58,168,$690
15,1430,Chris Dickerson,62467,1036,-9,57,56,55,168,$690
18,1400,Anthony Barela,44382,1023,-8,57,58,54,169,$615
18,1400,Eric Oakley,53565,1012,-8,60,55,54,169,$615
18,1400,Steve Brinster,10628,1022,-8,53,60,56,169,$615
18,1400,Chris Clemons,50401,1011,-8,56,54,59,169,$615
22,1360,Joel Freeman,69509,1016,-7,54,56,60,170,$550
22,1360,Cale Leiviska,24341,1032,-7,59,55,56,170,$550
22,1360,Michael Johansen,20300,1029,-7,57,57,56,170,$550
22,1360,Kevin Jones,41760,1022,-7,61,50,59,170,$550
26,1320,Charlie Goodpasture,26455,1013,-6,55,59,57,171,$510
26,1320,Nate Perkins,65737,1013,-6,58,58,55,171,$510
28,1300,Drew Gibson,48346,1022,-5,60,57,55,172,$495
29,1290,Alan Wagner,28550,986,-4,58,60,55,173,$480
29,1290,Steven Rico,4666,1014,-4,58,56,59,173,$480
31,1270,Austin Hannum,68835,1012,-3,53,61,60,174,$455
31,1270,Patrick Brown,25713,1011,-3,63,55,56,174,$455
31,1270,Nicholas Masters,61176,995,-3,55,63,56,174,$455
34,1240,Barry Schultz,6840,1030,-2,63,56,56,175,$425
34,1240,Matt Dollar,26045,1009,-2,53,57,65,175,$425
34,1240,Jeremy Koling,33705,1023,-2,59,55,61,175,$425
34,1240,Alex Russell,66362,1014,-2,59,56,60,175,$425
34,1240,Colin Forehand,53658,1003,-2,61,55,59,175,$425
39,1190,Reid Frescura,48338,1004,-1,63,57,56,176,$395
39,1190,Philo Brathwaite,26416,1020,-1,59,57,60,176,$395
39,1190,Juhani Vainio,30752,976,-1,58,60,58,176,$395
39,1190,Samuel Aldrich,22055,988,-2,58,56,62,176,$395
43,1150,Miles Seaborn,29264,1022,E,55,60,62,177,$375
43,1150,Paul Oman,34344,1007,E,58,59,60,177,$375
43,1150,Joshua Anthon,17946,1033,E,64,58,55,177,$375
43,1150,AJ Carey,61770,980,E,60,61,56,177,$375
43,1150,Max Nichols,21870,1006,E,60,58,59,177,$375
48,1100,Matt Bell,48950,1007,1,59,57,62,178,$355
48,1100,Dustin Keegan,35187,1011,1,65,57,56,178,$355
48,1100,Dutch Napier,31473,1010,1,61,55,62,178,$355
48,1100,Zackeriath Johnson,50312,1002,1,59,61,58,178,$355
52,1060,Cameron Messerschmidt,58814,1002,2,65,60,54,179,$335
52,1060,Bartosz Kowalewski,68737,996,2,60,62,57,179,$335
52,1060,Jeff Renner,67313,996,2,57,59,63,179,$335
52,1060,Andrew Presnell,63765,1017,2,57,61,61,179,$335
52,1060,Lewis Bitney,51242,1014,2,64,57,58,179,$335
57,1010,Peter McBride,34463,1011,3,57,58,65,180,$320
57,1010,Michael Habets,60852,975,3,57,61,62,180,$320
57,1010,Chandler Fry,25541,1022,3,61,58,61,180,$320
60,980,James Cole,29690,1016,4,61,61,59,181,$310
60,980,Garrett Gurthie,13864,1022,4,61,59,61,181,$310
60,980,Allen Hermosillo,25345,987,4,60,61,60,181,$310
63,950,Brian Earhart,45879,1006,5,61,59,62,182,$75
63,950,Shane Wyatt,43284,974,5,61,61,60,182,$75
63,950,Casey White,81739,978,5,56,61,65,182,$75
63,950,Will Schusterick,29064,1004,5,60,58,64,182,$75
